GPSTime,DeviceTime,Longitude,Latitude,GPSSpeed,HorizontalDilutionofPrecision,Altitude,Bearing,Gx,Gy,Gz,Gcalibrated,0-60Time,Averagetripspeed,COgkm,EngineRPM,Horsepower,MilesPerGallonInstant,MilesPerGallon,Speed,Torque,Voltage
-,10-Jun-2013 18:51:24.080,-,-,-,-,-,-,1.0215261,5.43451881,8.15858841,0.02368563,-,-,-,-,-,-,43.2100296,-,-,-
-,10-Jun-2013 18:51:25.082,-,-,-,-,-,-,1.18497026,4.86246395,8.539958,0.02801257,-,0,-,933,-,-,43.2100296,0,-,-
-,10-Jun-2013 18:51:26.070,-,-,-,-,-,-,1.41651618,4.24954844,8.73064327,0.01927632,-,0,-,941.5,-,0,43.2100296,0,-,14.10000038
-,10-Jun-2013 18:51:27.072,-,-,-,-,-,-,1.18497026,5.05314922,8.11772728,0.00117552,-,0,-,931.75,-,0,43.2100296,0,-,14.30000019
-,10-Jun-2013 18:51:28.068,-,-,-,-,-,-,1.52547896,4.69901991,9.38441944,0.10008377,-,0,-,931.75,-,0,43.2100296,0,-,14.10000038
-,10-Jun-2013 18:51:29.064,-,-,-,-,-,-,1.48461795,5.5162406,8.30841255,0.04680759,-,0,-,944,-,0,43.2100296,0,-,14
-,10-Jun-2013 18:51:30.054,-,-,-,-,-,-,1.18497026,5.5162406,7.88618135,0.00744492,-,0,-,949.5,-,0,43.2100296,0,-,14
-,10-Jun-2013 18:51:31.054,-,-,-,-,-,-,0.53119355,5.77502728,9.87475204,0.1863603,-,0,-,947,-,0,43.2100296,0,-,14
-,10-Jun-2013 18:51:32.055,-,-,-,-,-,-,1.14410925,5.70692587,8.7987442,0.09440118,-,0,-,933.25,-,0,43.2100296,0,-,14
-,10-Jun-2013 18:51:33.056,-,-,-,-,-,-,1.10324812,5.62520361,9.68406677,-0.10995048,-,0,-,947.25,-,0,43.2100296,0,-,14.19999981
-,10-Jun-2013 18:51:34.053,-,-,-,-,-,-,1.14410925,5.66606474,8.11772728,0.03484899,-,0,-,945.5,-,0,43.2100296,0,-,14
-,10-Jun-2013 18:51:35.057,-,-,-,-,-,-,0.9942854,5.58434248,7.76359797,-0.00088453,-,0,-,937,-,0,43.2100296,0,-,14.10000038
Mon Jun 10 18:51:29 GMT+01:00 2013,10-Jun-2013 18:51:36.054,-0.0360221,51.51267834,1.5811388,14.0,81.80000305175781,10.5,0.38136974,6.53776693,7.92704248,0.06714541,-,0,-,943.5,-,0,43.2100296,0,-,14
Mon Jun 10 18:51:31 GMT+01:00 2013,10-Jun-2013 18:51:37.053,-0.03601534,51.51268012,0.0,4.0,79.69999694824219,0.0,-3.13267994,7.46395063,6.89189577,0.10271066,-,0,-,947,-,0,43.2100296,0,-,14.19999981
